组合,高质量F1,中质量F1,低质量F1,宏平均F1,G-均值
随机森林 + SMOTEENN,0.8741721854304636,0.9108910891089109,0.625,0.8033544248464581,0.705458917148738
随机森林 + SMOTE,0.915929203539823,0.9436893203883495,0.6086956521739131,0.8227713920340286,0.72534658901715
随机森林 + No Sampling,0.9004329004329005,0.9341085271317829,0.0,0.6115138091882278,0.0
随机森林 + BorderlineSMOTE,0.9154013015184381,0.9386138613861386,0.6666666666666666,0.8402272765237478,0.7568391948695213
逻辑回归 + SMOTEENN,0.9183222958057395,0.9558232931726908,0.6153846153846154,0.8298434014543487,0.7349532024750117
逻辑回归 + SMOTE,0.9621380846325167,0.9881422924901185,0.6857142857142857,0.8786648876123069,0.8074210086686029
逻辑回归 + No Sampling,0.9698275862068966,0.9881889763779528,0.5555555555555556,0.8378573727134683,0.7296776037237626
逻辑回归 + BorderlineSMOTE,0.9598214285714286,0.9881422924901185,0.6666666666666666,0.8715434625760713,0.7951688067363273
决策树 + SMOTEENN,0.781038374717833,0.8464566929133859,0.41025641025641024,0.6792504926292097,0.520794328104174
决策树 + SMOTE,0.8,0.8604651162790697,0.5294117647058824,0.7299589603283175,0.6036822711838767
决策树 + No Sampling,0.8418803418803419,0.8812877263581489,0.4,0.7077226894128303,0.5447710757231325
决策树 + BorderlineSMOTE,0.8425720620842572,0.896414342629482,0.4864864864864865,0.7418242970667418,0.6061684330354928
SVM + SMOTEENN,0.8846153846153846,0.9171717171717172,0.5185185185185185,0.7734352067685402,0.6486115929235124
SVM + SMOTE,0.9414316702819957,0.9664694280078896,0.5454545454545454,0.8177852145814769,0.7044785026280539
SVM + No Sampling,0.9358974358974359,0.9647058823529412,0.0,0.6335344394167923,0.0
SVM + BorderlineSMOTE,0.9419354838709677,0.9662027833001988,0.5454545454545454,0.8178642708752374,0.7045697666746765
KNN + SMOTEENN,0.6634146341463415,0.8553971486761711,0.20224719101123595,0.5736863246112495,0.3387799284991952
KNN + SMOTE,0.75,0.8503937007874016,0.36,0.6534645669291339,0.4791725150847015
KNN + No Sampling,0.808695652173913,0.8532818532818532,0.0,0.5539925018185888,0.0
KNN + BorderlineSMOTE,0.7545454545454545,0.8429423459244533,0.3829787234042553,0.6601555079580543,0.49354750746996284
